0,Open,High,Low,Close,Adj Close,Volume
2016-10-10,34.939999,35.250000,34.500000,34.919998,34.522263,13600
2016-10-11,34.709999,34.709999,33.959999,34.110001,33.721489,28000
2016-10-12,34.250000,34.639999,34.090000,34.400002,34.008186,34300
2016-10-13,34.250000,34.814999,34.220001,34.389999,33.998299,16600
2016-10-14,34.580002,35.369999,34.580002,34.880001,34.482716,12700
2016-10-17,34.799999,35.099998,34.650002,34.950001,34.551926,9900
2016-10-18,35.250000,35.950001,35.000000,35.400002,34.996796,12600
2016-10-19,35.599998,35.750000,35.250000,35.450001,35.046227,22100
2016-10-20,35.500000,35.575001,35.000000,35.000000,34.601353,34600
2016-10-21,34.750000,34.750000,34.400002,34.549999,34.156475,6600
2016-10-24,34.650002,34.950001,34.349998,34.549999,34.156475,3600
2016-10-25,34.599998,34.950001,34.200001,34.200001,33.810463,7200
2016-10-26,34.200001,34.400002,34.049999,34.150002,33.761036,7100
2016-10-27,34.250000,34.450001,33.849998,33.950001,33.563313,45800
2016-10-28,33.650002,33.849998,33.650002,33.849998,33.464447,2300
2016-10-31,33.849998,34.099998,33.799999,33.950001,33.563313,24200
2016-11-01,34.000000,34.750000,33.250000,33.250000,32.871284,11800
2016-11-02,33.450001,33.450001,33.000000,33.200001,32.821854,8700
2016-11-03,33.099998,33.549999,33.099998,33.299999,32.920712,12200
2016-11-04,33.299999,33.599998,32.799999,33.099998,32.722992,25500
2016-11-07,33.450001,34.299999,33.200001,33.849998,33.464447,15800
2016-11-08,33.849998,34.349998,33.349998,33.400002,33.019577,20200
2016-11-09,33.799999,34.375000,33.549999,34.099998,33.711601,28300
2016-11-10,34.250000,34.299999,33.500000,34.000000,33.612743,45200
2016-11-11,34.000000,34.325001,34.000000,34.250000,33.859898,45900
2016-11-14,34.400002,34.950001,34.349998,34.700001,34.304771,34000
2016-11-15,34.599998,34.650002,34.299999,34.349998,33.958755,22800
2016-11-16,33.950001,34.599998,33.900002,34.250000,33.859898,29200
2016-11-17,34.250000,34.700001,33.825001,34.250000,33.859898,51000
2016-11-18,34.099998,34.250000,33.500000,34.000000,33.612743,45900
2016-11-21,34.000000,34.400002,33.849998,34.049999,33.662170,47200
2016-11-22,33.900002,34.049999,33.799999,34.049999,33.662170,37900
2016-11-23,34.099998,34.099998,33.599998,33.900002,33.513885,36400
2016-11-25,33.950001,34.250000,33.900002,33.950001,33.563313,11700
2016-11-28,33.849998,34.049999,33.700001,33.849998,33.464447,21600
2016-11-29,34.150002,34.150002,33.500000,33.599998,33.217297,29400
2016-11-30,33.650002,33.950001,33.650002,33.849998,33.464447,21900
2016-12-01,33.849998,34.000000,33.549999,33.750000,33.365589,23500
2016-12-02,33.849998,34.000000,33.200001,33.650002,33.266731,18500
2016-12-05,33.599998,34.200001,33.599998,33.750000,33.365589,36300
2016-12-06,33.900002,34.250000,33.650002,34.000000,33.612743,41300
2016-12-07,33.950001,34.700001,33.904999,34.549999,34.156475,48800
2016-12-08,34.500000,35.750000,34.200001,34.549999,34.156475,50500
2016-12-09,34.599998,34.599998,33.900002,34.000000,33.612743,27500
2016-12-12,34.000000,34.099998,33.849998,33.950001,33.563313,16900
2016-12-13,34.049999,34.500000,33.849998,33.950001,33.563313,31500
2016-12-14,34.200001,34.200001,33.650002,33.700001,33.316162,14300
2016-12-15,33.750000,34.150002,33.750000,33.799999,33.415024,26600
2016-12-16,33.950001,34.099998,33.549999,33.799999,33.415024,45600
