Date,Open,High,Low,Close,Adj Close,Volume
2013-12-18,22.120001,22.920000,22.049999,22.650000,20.210876,10759800
2013-12-19,22.389999,22.670000,22.250000,22.510000,20.085953,6557800
2013-12-20,22.559999,23.000000,22.500000,22.650000,20.210876,6668200
2013-12-23,22.700001,23.150000,22.680000,23.059999,20.576723,4453800
2013-12-24,23.139999,23.389999,23.010000,23.080000,20.594570,3669400
2013-12-26,23.120001,23.129999,22.900000,23.049999,20.567797,4151300
2013-12-27,23.010000,23.400000,22.950001,23.389999,20.871187,2839800
2013-12-30,23.299999,23.750000,23.209999,23.510000,20.978262,4817100
2013-12-31,23.520000,23.580000,23.160000,23.370001,20.853342,3516000
2014-01-02,23.250000,23.330000,22.450001,22.650000,20.210876,6269300
2014-01-03,22.830000,22.830000,22.440001,22.650000,20.210876,4701300
2014-01-06,22.719999,22.900000,22.440001,22.559999,20.130566,5127700
2014-01-07,22.690001,22.870001,22.410000,22.480000,20.059179,4264700
2014-01-08,22.450001,22.450001,21.830000,21.950001,19.586256,6343200
2014-01-09,22.000000,22.000000,21.510000,21.770000,19.425640,6622800
2014-01-10,21.860001,22.290001,21.639999,22.030001,19.657644,6581900
2014-01-13,22.049999,22.090000,21.719999,21.790001,19.443487,3924700
2014-01-14,21.900000,22.080000,21.780001,22.000000,19.630873,5252800
2014-01-15,21.990000,22.280001,21.889999,22.180000,19.791491,4269500
2014-01-16,22.219999,22.219999,21.850000,21.920000,19.559488,4307100
2014-01-17,21.799999,21.900000,21.620001,21.760000,19.416716,3498000
2014-01-21,21.830000,21.870001,21.260000,21.639999,19.309637,4013000
2014-01-22,21.639999,21.980000,21.600000,21.930000,19.568409,3763100
2014-01-23,21.760000,21.879999,21.469999,21.580000,19.256102,3089300
2014-01-24,21.230000,21.510000,20.740000,21.180000,18.899178,8581800
2014-01-27,21.030001,21.459999,20.790001,21.160000,18.881329,6290300
2014-01-28,21.309999,21.440001,21.129999,21.280001,18.988411,3466700
2014-01-29,20.870001,21.340000,20.670000,21.049999,18.783175,6940400
2014-01-30,21.360001,21.670000,21.080000,21.430000,19.122257,7024100
2014-01-31,21.309999,21.379999,20.940001,21.260000,18.970560,5077800
2014-02-03,21.260000,21.299999,20.559999,20.570000,18.354866,4088500
2014-02-04,20.910000,21.480000,20.740000,21.110001,18.836714,5536000
2014-02-05,21.100000,21.160000,20.580000,20.690001,18.461943,7012800
2014-02-06,20.830000,21.350000,20.690001,21.070000,18.801022,4351500
2014-02-07,21.110001,21.370001,20.780001,21.320000,19.024103,6099800
2014-02-10,21.280001,21.320000,20.690001,20.969999,18.711788,4152700
2014-02-11,20.920000,21.680000,20.920000,21.490000,19.175793,4609800
2014-02-12,21.629999,22.000000,21.070000,21.190001,18.908102,7364300
2014-02-13,21.080000,21.230000,20.760000,21.100000,18.827791,5859700
2014-02-14,21.200001,21.400000,20.950001,21.250000,18.961637,3239400
2014-02-18,21.260000,21.320000,20.830000,20.879999,18.631485,3781300
2014-02-19,20.799999,20.910000,20.360001,20.450001,18.247786,4271400
2014-02-20,20.070000,20.260000,19.889999,20.120001,17.953327,6870600
2014-02-21,20.160000,20.580000,19.980000,20.150000,17.980091,4780300
2014-02-24,20.110001,20.129999,19.719999,19.840000,17.703478,4594600
