0,Open,High,Low,Close,Adj Close,Volume
2013-12-18,28.870001,29.690001,28.870001,29.270000,29.051487,1831298
2013-12-19,29.320000,29.580000,29.209999,29.480000,29.259920,1197403
2013-12-20,29.480000,30.500000,29.450001,30.280001,30.053951,3511055
2013-12-23,30.200001,30.799999,29.910000,30.660000,30.431112,3486273
2013-12-26,30.500000,30.500000,29.700001,29.780001,29.557682,920670
2013-12-27,29.740000,30.000000,29.500000,29.540001,29.319473,597476
2013-12-30,29.410000,29.990000,28.969999,29.570000,29.349251,1432074
2014-01-02,29.480000,29.820000,29.070000,29.530001,29.309549,759638
2014-01-03,29.379999,29.379999,28.830000,28.969999,28.753727,915501
2014-01-06,28.799999,29.139999,28.600000,28.690001,28.475817,792695
2014-01-07,28.670000,29.139999,28.670000,29.010000,28.793432,1007594
2014-01-08,28.700001,29.760000,28.680000,29.709999,29.488205,1034849
2014-01-09,29.600000,29.610001,28.860001,28.990000,28.773577,2495502
2014-01-10,29.240000,29.490000,28.719999,29.200001,28.982012,991125
2014-01-13,28.900000,29.150000,28.719999,28.990000,28.773577,814912
2014-01-14,28.740000,29.299999,28.740000,28.980000,28.763653,850544
2014-01-15,29.190001,29.190001,28.400000,28.540001,28.326939,2411675
2014-01-16,28.709999,28.709999,27.799999,27.930000,27.721493,2848662
2014-01-17,27.830000,28.280001,27.830000,28.059999,27.850521,1691442
2014-01-20,28.049999,28.059999,27.910000,27.980000,27.771118,680191
2014-01-21,28.340000,28.340000,27.820000,28.110001,27.900150,1530649
2014-01-22,27.830000,28.150000,27.700001,28.100000,27.890223,932167
2014-01-23,27.809999,28.150000,27.379999,28.100000,27.890223,1256506
2014-01-24,28.020000,28.030001,27.299999,27.580000,27.374105,2201348
2014-01-27,27.600000,27.610001,27.000000,27.230000,27.026718,1327731
2014-01-28,27.500000,27.670000,26.250000,26.420000,26.222765,1859690
2014-01-29,26.260000,26.600000,25.950001,26.389999,26.192989,2615004
2014-01-30,26.389999,26.990000,26.110001,26.480000,26.282316,3195485
2014-01-31,26.330000,26.700001,26.059999,26.639999,26.441120,1984532
2014-02-04,26.299999,26.450001,26.049999,26.160000,25.964706,1589316
2014-02-05,26.100000,26.639999,25.920000,26.059999,25.865450,2544144
2014-02-06,26.700001,26.700001,26.160000,26.280001,26.083811,923361
2014-02-07,26.590000,26.590000,26.000000,26.170000,25.974630,672500
2014-02-10,26.150000,26.360001,26.000000,26.030001,25.835676,475640
2014-02-11,26.219999,26.490000,25.900000,26.059999,25.865450,2002964
2014-02-12,26.379999,26.639999,25.520000,26.350000,26.153288,2774863
2014-02-13,25.500000,25.500000,23.660000,23.930000,23.751354,9488313
2014-02-14,24.200001,25.049999,24.100000,24.920000,24.733961,3538930
2014-02-17,25.000000,25.180000,24.270000,25.049999,24.862993,1243366
2014-02-18,25.100000,25.100000,24.200001,24.450001,24.267475,1772451
2014-02-19,24.450001,24.690001,23.070000,23.389999,23.215385,3299550
2014-02-20,23.540001,23.540001,23.020000,23.100000,22.927551,3629792
2014-02-21,23.120001,24.010000,23.010000,23.840000,23.662025,2441029
2014-02-24,24.100000,24.400000,23.740000,24.080000,23.900232,820316
2014-02-25,24.240000,24.240000,22.500000,22.969999,22.798519,1971498
2014-02-26,23.190001,23.440001,22.600000,22.680000,22.510687,1309966
2014-02-27,23.230000,23.230000,22.500000,22.709999,22.540461,2627458
2014-02-28,22.840000,22.900000,22.500000,22.559999,22.391581,1090764
2014-03-03,22.559999,22.990000,21.840000,22.660000,22.490835,2087795
2014-03-04,23.180000,23.639999,22.910000,23.450001,23.274939,2002381
2014-03-05,23.600000,23.900000,22.959999,23.040001,22.868000,1836028
2014-03-06,23.370001,23.680000,23.150000,23.350000,23.175684,1285867
2014-03-07,23.610001,23.610001,23.010000,23.230000,23.056580,1608800
2014-03-10,23.280001,23.639999,22.490000,23.490000,23.314638,1119596
2014-03-11,23.469999,23.639999,22.740000,22.980000,22.808445,2374229
2014-03-12,23.160000,23.160000,22.500000,22.510000,22.341955,1356799
2014-03-13,22.719999,22.959999,21.540001,21.770000,21.607477,1939544
2014-03-14,21.719999,21.799999,20.990000,21.200001,21.041735,6554504
2014-03-18,21.309999,21.690001,21.150000,21.500000,21.339495,870943
2014-03-19,21.930000,22.139999,21.410000,21.930000,21.766285,3015378
2014-03-20,21.510000,22.500000,21.510000,22.410000,22.242701,5911856
2014-03-21,22.500000,23.000000,22.500000,22.910000,22.738968,3803356
2014-03-24,22.950001,23.129999,22.600000,22.709999,22.540461,1709460
2014-03-25,22.990000,22.990000,22.700001,22.760000,22.590090,1894490
2014-03-26,22.750000,22.910000,22.010000,22.170000,22.004494,3270416
2014-03-27,22.549999,22.549999,22.020000,22.309999,22.143446,1085592
2014-03-28,22.540001,22.719999,22.420000,22.600000,22.431284,1113126
2014-03-31,22.950001,23.350000,22.549999,23.270000,23.096281,2432100
2014-04-01,23.350000,24.350000,23.299999,23.870001,23.691803,3110977
2014-04-02,23.889999,24.000000,23.450001,23.600000,23.423819,2441188
2014-04-03,23.750000,23.750000,22.910000,23.200001,23.026806,672527
2014-04-04,23.400000,23.770000,23.160000,23.559999,23.384113,844945
2014-04-07,23.760000,23.790001,23.059999,23.639999,23.463516,493494
2014-04-08,23.799999,23.850000,23.200001,23.290001,23.116131,957950
2014-04-09,23.430000,23.549999,23.180000,23.340000,23.165760,451613
2014-04-10,23.190001,23.400000,23.110001,23.230000,23.056580,595750
2014-04-11,23.200001,23.200001,22.340000,22.490000,22.322105,1575936
2014-04-14,22.600000,22.650000,22.100000,22.110001,21.944942,608051
2014-04-15,22.129999,22.270000,22.000000,22.160000,21.994566,667645
2014-04-16,21.900000,22.000000,21.250000,21.920000,21.756361,2638953
2014-04-21,22.000000,22.129999,21.900000,22.000000,21.835762,914527
2014-04-22,22.049999,22.700001,22.049999,22.520000,22.351883,3179948
2014-04-23,22.500000,22.570000,22.299999,22.400000,22.232775,689494
2014-04-24,22.340000,22.540001,22.000000,22.040001,21.875463,1840036
2014-04-25,22.150000,22.150000,21.799999,21.840000,21.676958,575227
2014-04-28,21.780001,21.969999,21.250000,21.440001,21.279942,2637278
2014-04-29,21.610001,22.340000,21.610001,22.260000,22.093821,1463534
2014-04-30,22.410000,22.680000,22.100000,22.500000,22.332029,2453431
2014-05-02,22.600000,22.990000,22.340000,22.610001,22.441210,1356683
2014-05-05,21.719999,22.790001,21.719999,22.770000,22.600014,593812
2014-05-06,22.750000,23.490000,22.750000,23.379999,23.205460,3115544
2014-05-07,23.440001,23.500000,23.110001,23.490000,23.314638,2155261
2014-05-08,23.600000,23.600000,23.000000,23.020000,22.848146,1443933
2014-05-09,23.000000,23.500000,22.879999,23.389999,23.215385,791538
2014-05-12,23.480000,24.250000,23.379999,23.969999,23.791054,2016407
2014-05-13,24.100000,24.299999,24.000000,24.180000,23.999489,2281431
2014-05-14,24.270000,24.980000,23.990000,24.500000,24.317099,4021287
2014-05-15,24.490000,24.629999,24.000000,24.320000,24.138443,1479619
2014-05-16,24.450001,24.889999,24.379999,24.780001,24.595007,1477498
2014-05-19,24.799999,24.980000,24.700001,24.959999,24.773664,1204319
2014-05-20,24.980000,25.100000,24.799999,24.840000,24.654560,737910
2014-05-21,25.000000,25.110001,24.799999,24.889999,24.704185,663732
2014-05-22,24.950001,25.000000,24.520000,24.879999,24.694262,519010
2014-05-23,24.709999,24.850000,24.490000,24.809999,24.624783,653062
2014-05-26,24.969999,25.469999,24.940001,25.350000,25.160751,1156574
2014-05-27,25.350000,25.490000,24.950001,25.059999,24.872917,1533246
2014-05-28,25.200001,25.200001,24.740000,24.980000,24.793516,1399705
2014-05-29,25.100000,25.150000,24.799999,24.860001,24.674412,1634502
2014-05-30,24.700001,24.990000,24.350000,24.590000,24.406427,514913
2014-06-02,24.330000,25.110001,24.330000,25.010000,24.823292,540274
2014-06-03,25.110001,25.200001,24.559999,24.680000,24.495754,297312
2014-06-04,25.100000,25.100000,24.219999,24.260000,24.078890,1058092
2014-06-05,24.490000,24.660000,24.250000,24.360001,24.178144,629645
2014-06-06,24.549999,24.850000,24.500000,24.790001,24.604933,1088228
2014-06-09,24.879999,25.290001,24.820000,25.000000,24.813366,1162672
2014-06-10,24.980000,25.110001,24.590000,24.820000,24.634708,470947
2014-06-11,24.620001,24.820000,24.500000,24.670000,24.485830,733903
2014-06-12,24.889999,25.049999,24.670000,24.770000,24.585083,532581
2014-06-13,24.990000,25.200001,24.600000,25.070000,24.882843,778305
2014-06-16,24.110001,25.120001,24.110001,24.760000,24.575157,1626721
2014-06-17,24.959999,24.959999,24.510000,24.780001,24.595007,333812
2014-06-18,24.660000,25.000000,24.650000,24.870001,24.684338,565419
2014-06-19,25.000000,25.799999,24.760000,25.690001,25.498217,1859026
2014-06-20,25.700001,26.000000,25.410000,25.610001,25.418814,1738531
2014-06-23,25.889999,25.969999,25.650000,25.830000,25.637171,681926
2014-06-24,25.900000,25.930000,25.379999,25.500000,25.309631,538917
2014-06-25,25.490000,25.730000,25.150000,25.340000,25.150827,1767201
2014-06-26,25.139999,25.309999,25.000000,25.049999,24.862993,985936
2014-06-27,25.139999,25.290001,25.000000,25.020000,24.833220,438774
2014-06-30,25.020000,25.190001,24.950001,24.990000,24.803442,1394835
2014-07-01,25.160000,25.209999,24.799999,24.870001,24.684338,798805
2014-07-02,24.930000,25.200001,24.799999,25.129999,24.942396,481515
2014-07-03,25.100000,25.250000,24.950001,25.180000,24.992023,726050
2014-07-04,25.070000,25.280001,25.000000,25.010000,24.823292,228866
2014-07-07,25.010000,25.420000,25.010000,25.290001,25.101202,685583
2014-07-08,25.379999,25.379999,25.030001,25.110001,24.922544,482656
2014-07-09,25.170000,25.170000,24.240000,24.379999,24.197994,1384453
2014-07-10,24.400000,24.959999,24.180000,24.700001,24.515606,1209198
2014-07-11,24.559999,24.940001,24.559999,24.730000,24.545382,516823
2014-07-14,24.700001,25.000000,24.600000,24.879999,24.694262,724872
2014-07-15,24.790001,25.230000,24.200001,24.270000,24.088814,2948520
2014-07-16,24.559999,24.559999,24.000000,24.080000,23.900232,1552345
2014-07-17,24.170000,24.250000,23.030001,23.360001,23.185610,1933729
2014-07-18,23.360001,23.690001,22.920000,23.040001,22.868000,2164012
2014-07-21,23.059999,23.389999,23.059999,23.180000,23.006954,959036
2014-07-22,23.299999,23.389999,23.110001,23.299999,23.126055,2010214
2014-07-23,23.530001,23.530001,23.320000,23.360001,23.185610,1760951
2014-07-24,23.540001,23.540001,23.320000,23.450001,23.274939,1615483
2014-07-25,23.590000,23.719999,23.379999,23.660000,23.483370,1143174
2014-07-28,23.889999,24.170000,23.790001,24.020000,23.840683,2046218
2014-07-29,24.160000,24.240000,24.100000,24.160000,23.979637,1524529
2014-07-30,24.129999,24.240000,24.129999,24.200001,24.019339,1048542
2014-07-31,24.250000,24.250000,24.010000,24.010000,23.830757,3399842
2014-08-01,24.010000,24.200001,23.870001,23.940001,23.761278,936017
2014-08-04,24.500000,25.389999,24.219999,25.260000,25.071426,6827106
